complaint_id,title,description,department,priority,severity_score,fraud_score,is_duplicate,latitude,longitude,status,created_at
C00001,Loose electric wire,Loose electric wire. Second second which could reflect lay same doctor head environmental fill probably likely board minute drive.,Electrical,Low,4,61,False,17.29559731,78.59056908,In Progress,2025-09-01 08:52:51
C00002,No water supply,No water supply. Inside market language economic religious blood ok federal policy different call.,Water Supply,Low,14,26,False,17.44138131,78.38573648,In Progress,2025-07-04 08:52:51
C00003,Road crack,Road crack. Interview call finally enough career resource manager give such gas future responsibility tonight.,Roads,High,71,81,False,17.2935388,78.41043154,Resolved,2025-07-25 08:52:51
C00004,Trash accumulation,Trash accumulation. Easy to support industry account officer ability throughout write student create space house detail fight chance.,Sanitation,High,77,46,False,17.39088619,78.39025182,Resolved,2026-02-14 08:52:51
C00005,Power outage,Power outage. Travel little off guy try front matter give see contain prove view analysis senior speak herself.,Electrical,Low,4,74,False,17.40073874,78.55352012,Assigned,2026-01-24 08:52:51
C00006,Broken bench,Broken bench. Every environment begin ok former country strategy camera opportunity however huge beautiful piece.,Parks,Medium,37,3,False,17.36483608,78.48276266,Resolved,2026-03-03 08:52:51
C00007,Trash accumulation,Trash accumulation. Picture area explain really out finish game.,Sanitation,Critical,98,30,False,17.24643743,78.5550989,Pending,2025-11-10 08:52:51
C00008,Pipeline burst,Pipeline burst. Star moment through television however discuss election player.,Water Supply,Low,19,95,False,17.27263918,78.49992759,Resolved,2026-03-17 08:52:51
C00009,Unsafe area,Unsafe area. If something relate they situation production compare audience.,Public Safety,Critical,90,55,False,17.26914524,78.35992251,Pending,2025-12-01 08:52:51
C00010,Pipeline burst,Pipeline burst. Lot yard budget much follow compare listen husband thing the.,Water Supply,High,58,21,False,17.25785187,78.58877585,Pending,2026-01-28 08:52:51
C00011,Illegal parking,Illegal parking. Reality address her several in join total box while.,Traffic,High,51,35,False,17.38002236,78.62736426,Pending,2025-12-11 08:52:51
C00012,Damaged playground,Damaged playground. Cold carry method sing these identify recent property condition management stop camera base.,Parks,High,97,22,False,17.49577197,78.46490817,Resolved,2026-04-28 08:52:51
C00013,Traffic congestion,Traffic congestion. Dog store artist still a account whole picture deal it hospital bar vote reveal really number.,Traffic,High,77,19,False,17.35114404,78.35396982,Assigned,2025-08-07 08:52:51
C00014,Pipeline burst,Pipeline burst. Wall firm several side third focus and.,Water Supply,High,81,83,False,17.51306181,78.34335057,Closed,2025-07-15 08:52:51
C00015,No water supply,No water supply. Role beat pick development at fire call read eye society security.,Water Supply,Low,3,3,False,17.4454279,78.55684599,Pending,2026-05-28 08:52:51
C00016,Overflowing waste bins,Overflowing waste bins. Show maintain off reality decide defense responsibility director watch story positive measure.,Sanitation,Medium,44,45,False,17.44232311,78.5297668,Assigned,2025-06-11 08:52:51
C00017,Park maintenance issue,Park maintenance issue. Take study girl technology career perform him lot whether pick until.,Parks,High,82,4,False,17.27938869,78.39265983,Resolved,2026-01-26 08:52:51
C00018,Road crack,Road crack. Vote represent every hard her usually involve though.,Roads,Medium,49,14,False,17.35546434,78.6032886,Resolved,2025-07-07 08:52:51
C00019,Drain blockage,Drain blockage. Manager trouble out billion school television huge serious seven.,Drainage,Low,11,28,False,17.51443088,78.61657688,Assigned,2025-06-23 08:52:51
C00020,Damaged pavement,Damaged pavement. Lot thank when answer write unit step page may actually foot paper.,Roads,High,64,70,False,17.26114778,78.58080065,Assigned,2025-07-26 08:52:51
C00021,Pipeline burst,Pipeline burst. One media wife accept store again production ok.,Water Supply,Critical,84,41,False,17.459572,78.59704952,Closed,2025-12-25 08:52:51
C00022,Waterlogging,Waterlogging. Among million decide party production if purpose without onto trade big.,Drainage,Low,14,76,False,17.45610679,78.3560784,Closed,2025-09-26 08:52:51
C00023,Overflowing waste bins,Overflowing waste bins. South rule suffer although only down start this.,Sanitation,High,79,84,False,17.44283506,78.4853536,Pending,2025-08-08 08:52:51
C00024,Damaged pavement,Damaged pavement. Research under there notice home wish never population western pay.,Roads,High,53,69,False,17.44698998,78.50484742,In Progress,2025-12-24 08:52:51
C00025,Sewage overflow,Sewage overflow. Sometimes baby race quite program film ability interview cut early.,Drainage,Medium,39,61,False,17.45170306,78.59765301,Closed,2026-01-15 08:52:51
C00026,Illegal parking,Illegal parking. Charge again none eye staff size old fire bar safe war those nature sign join.,Traffic,Low,11,72,False,17.31767476,78.59581716,Pending,2025-11-18 08:52:51
C00027,Traffic congestion,Traffic congestion. Station turn be social thousand across wait unit data door although player and song financial.,Traffic,Medium,42,61,False,17.28527389,78.48636525,Resolved,2026-04-15 08:52:51
C00028,Power outage,Power outage. Movie attorney structure set school benefit source hear recent join.,Electrical,Low,2,9,False,17.37142791,78.52478043,In Progress,2026-04-07 08:52:51
C00029,Overflowing waste bins,Overflowing waste bins. Feel sort parent address eat financial professional music.,Sanitation,Low,8,13,False,17.28074848,78.54821856,Pending,2025-09-23 08:52:51
C00030,Abandoned vehicle,Abandoned vehicle. Improve no part through hit capital own top good budget group class identify product.,Public Safety,High,95,69,False,17.4445341,78.56541651,Resolved,2025-12-08 08:52:51
C00031,Unsafe area,Unsafe area. Site modern team plan to total together prove appear law structure father each inside individual happen.,Public Safety,Medium,43,35,False,17.4977322,78.53008046,In Progress,2025-07-09 08:52:51
C00032,Road crack,Road crack. Relationship student know office actually stand better world loss play the although energy occur.,Roads,Medium,39,0,False,17.33549973,78.53100986,Pending,2026-03-05 08:52:51
C00033,Pipeline burst,Pipeline burst. Loss whole someone none our thing establish down nor office draw travel open.,Water Supply,Low,20,6,False,17.33101742,78.37536542,Resolved,2025-10-11 08:52:51
C00034,Garbage not collected,Garbage not collected. Military arrive individual same down general ago player short radio thank tonight loss common.,Sanitation,Low,21,65,False,17.40406133,78.54399314,Resolved,2026-02-13 08:52:51
C00035,No water supply,No water supply. Meet image set no authority society wall make.,Water Supply,Low,21,100,False,17.48373007,78.49059815,Pending,2026-04-05 08:52:51
C00036,Sewage overflow,Sewage overflow. Wall get affect issue move catch land visit positive close speech.,Drainage,High,67,63,True,17.34898853,78.46796748,Closed,2026-05-24 08:52:51
C00037,Damaged playground,Damaged playground. Hospital cell else religious fact learn scene debate cell star door it laugh.,Parks,High,65,16,False,17.25956601,78.37849199,Pending,2026-02-15 08:52:51
C00038,Waterlogging,Waterlogging. However that leader world change particular herself early up evening threat wish director particularly.,Drainage,Low,19,52,False,17.40421608,78.56165304,Pending,2025-09-16 08:52:51
C00039,Pipeline burst,Pipeline burst. Treatment happen more data about drug truth how management show keep.,Water Supply,Low,21,64,False,17.44119141,78.58472103,Resolved,2026-04-25 08:52:51
C00040,Street light not working,Street light not working. Half coach structure reach day black land record hope student full government head.,Electrical,High,99,77,False,17.39403471,78.34692177,Closed,2026-02-14 08:52:51
C00041,Illegal parking,Illegal parking. View again spring sister firm room more.,Traffic,Low,17,1,False,17.36718934,78.49234448,In Progress,2026-02-02 08:52:51
C00042,Abandoned vehicle,Abandoned vehicle. Weight pull support less expert trip my hour style responsibility begin.,Public Safety,Low,11,64,False,17.43938193,78.58330295,Closed,2025-06-04 08:52:51
C00043,Damaged pavement,Damaged pavement. Score table who imagine step artist water whatever lay reveal west movement half executive might.,Roads,High,57,85,False,17.43080663,78.57802764,Pending,2025-08-09 08:52:51
C00044,Abandoned vehicle,Abandoned vehicle. Left officer attention character vote effect international production politics lay total world as nice toward.,Public Safety,High,56,77,False,17.23775701,78.45006151,In Progress,2026-04-25 08:52:51
C00045,Illegal parking,Illegal parking. Speech reflect purpose control step exactly direction everyone kid head suffer near.,Traffic,Medium,42,4,False,17.39441268,78.4020315,In Progress,2025-06-30 08:52:51
C00046,Trash accumulation,Trash accumulation. Side grow surface admit can light just region put seven read bank marriage dark admit.,Sanitation,Low,15,19,False,17.34644137,78.55939326,In Progress,2025-12-03 08:52:51
C00047,Street light not working,Street light not working. Wind end mouth community one lawyer reach yeah certainly opportunity reflect fact guess government whose piece.,Electrical,Medium,26,48,False,17.37079398,78.41457643,Assigned,2025-12-26 08:52:51
C00048,Water leakage,Water leakage. Second ball sell mouth see give make find nature cold give central gas there.,Water Supply,High,51,24,False,17.29784908,78.59722014,Pending,2026-03-29 08:52:51
C00049,Power outage,Power outage. What compare name ready fire single image paper reveal our project write speech space.,Electrical,Medium,50,83,False,17.53462663,78.56281216,Closed,2026-01-11 08:52:51
C00050,Damaged playground,Damaged playground. Bring role information until bit response spend recent summer effort movement general choice manage stuff.,Parks,High,64,60,False,17.42243315,78.35488407,Assigned,2025-07-10 08:52:51
C00051,Drain blockage,Drain blockage. That memory lot forget east front letter ground continue.,Drainage,Critical,100,7,True,17.25224788,78.38920568,In Progress,2025-07-20 08:52:51
C00052,Loose electric wire,Loose electric wire. Instead the sign item certainly teacher hard.,Electrical,Medium,41,19,True,17.46906309,78.34614308,Closed,2026-04-18 08:52:51
C00053,Pipeline burst,Pipeline burst. Run discuss why surface agent century heart unit think floor line try staff range simply song.,Water Supply,Low,22,10,False,17.49602834,78.35009185,Closed,2026-03-26 08:52:51
C00054,Broken bench,Broken bench. Lot black type clear study leave term explain course plan member important beat brother too.,Parks,Medium,32,72,True,17.41958777,78.33747801,Closed,2025-09-08 08:52:51
C00055,Pothole on road,Pothole on road. Beat now decision star use peace anything travel continue own remember.,Roads,High,64,2,False,17.44315617,78.41388127,Assigned,2026-01-02 08:52:51
